defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
Florida,26.6,117.9,109.2,2017,0,23.7
Florida State,23.6,115.3,112.1,2017,0,27.4
Georgia,17.9,131.9,130.2,2017,0,36
Georgia Southern,30.8,82.1,101.9,2017,0,18.7
Georgia Tech,27.7,93.8,99.2,2017,0,28.7
Hawaii,36.8,87.7,79.6,2017,0,25.9
Idaho,27.1,95.9,100.9,2017,0,22.3
Illinois,30.2,85.7,95.4,2017,0,18.9
Iowa,20.6,102.1,112.1,2017,0,24
Iowa State,23.2,116.9,99.8,2017,0,27.9
Kansas,32.7,101.6,89.7,2017,0,17.9
Kansas State,29.1,107.5,96.5,2017,0,29.6
Kent State,30.2,95.3,102.4,2017,0,16
Kentucky,32.5,93.2,92.7,2017,0,28
Louisiana Tech,30.3,82.1,88.9,2017,0,29.3
Louisville,30.3,92.9,88.2,2017,0,38.8
Marshall,21.6,119.8,99.4,2017,0,25.7
Maryland,30,93.2,93,2017,0,22.1
Massachusetts,29.6,90.7,103.9,2017,0,28.5
Memphis,32.9,100.6,106,2017,0,41
Miami-FL,21.4,107.7,112.5,2017,0,31.4
Miami-OH,24.4,90.8,96.7,2017,0,27.2
Michigan,18.6,129.6,143.8,2017,0,26.5
Michigan State,17.2,141,109.7,2017,0,25.8
Middle Tennessee,24.8,101.1,98.3,2017,0,25.6
Mississippi State,21.4,120.4,131.5,2017,0,28.6
Missouri,31.2,96.7,103,2017,0,36.4
Navy,32.3,116.5,90.6,2017,0,31.2
NC State,27.4,107.2,108.4,2017,0,33.9
Nebraska,33.1,88.2,92,2017,0,27
New Mexico,30.7,102,89.6,2017,0,24.2
New Mexico State,29.6,96,88.4,2017,0,29.7
North Carolina,30.6,95.7,96.9,2017,0,26.7
North Texas,31.7,104.3,87.1,2017,0,33.5
Northern Illinois,19.5,124.2,117.5,2017,0,24.4
Northwestern,21.7,119.5,98.4,2017,0,26.8
Notre Dame,22.6,123,132,2017,0,33.6
Ohio,25.7,99.8,97.4,2017,0,33.2
Ohio State,18.7,147.2,116.1,2017,0,38.7
Oklahoma,31.5,101,102.1,2017,0,47.2
Oklahoma State,28.4,117.7,107.4,2017,0,41.7
Old Dominion,29,95.2,91.4,2017,0,19.5
Ole Miss,33.4,97,98.9,2017,0,37.8
Oregon State,38.7,88.4,88.3,2017,0,24.5
Penn State,19.1,121.2,119.1,2017,0,37.6
Pittsburgh,28.8,96,108,2017,0,27.6
Rice,36,82.6,80.6,2017,0,21.7
Rutgers,26,99.4,99.6,2017,0,18.5
San Diego State,23.7,110.5,104.4,2017,0,30.2
SMU,35.9,91.8,91.9,2017,0,36.7
South Alabama,27.5,95.6,95.9,2017,0,22.2
South Carolina,25,117.4,101.2,2017,0,26
Southern Miss,21.9,114.2,100,2017,0,28.5
Stanford,26.5,102.9,101.3,2017,0,33.4
Syracuse,31.9,101.4,98.6,2017,0,28.6
TCU,19.9,144,122.3,2017,0,31.2
Tennessee,28.2,90.8,111.3,2017,0,20.9
Texas,22,122.5,116.2,2017,0,25.1
Texas A&M,27.6,111.1,107.6,2017,0,29.9
Texas State,31.2,95.6,84.9,2017,0,21.7
Texas Tech,29.8,102.8,98.5,2017,0,33.6
Toledo,26.6,91.2,103.4,2017,0,34.3
Troy,21.2,103.5,99.1,2017,0,29.2
Tulane,33.1,100.6,98.5,2017,0,29.9
Tulsa,39.4,88.8,89.5,2017,0,29.7
UAB,24.2,102.8,98.4,2017,0,25.7
UCLA,35.6,93.8,102,2017,0,35.4
UL-Lafayette,38.3,74.3,80.1,2017,0,29.9
UL-Monroe,41.4,78.1,85.2,2017,0,34.9
UNLV,33.7,83.3,87.6,2017,0,29.8
USC,27.2,103,121.1,2017,0,35.1
Utah,24.7,110.1,114.2,2017,0,29.5
Utah State,25.8,95.3,102.6,2017,0,27.3
UTEP,32.7,91.6,97.7,2017,0,14.9
UTSA,21.4,107.1,100.6,2017,0,24
Vanderbilt,27.9,93.4,117,2017,0,27.5
Virginia,24.4,106.5,105.8,2017,0,23.3
Virginia Tech,17.1,122.9,115.3,2017,0,25.6
Wake Forest,26.3,114.3,100.4,2017,0,33.8
Washington,15.9,129.4,113.8,2017,0,34.7
Washington State,21.7,121.4,127,2017,0,28.6
West Virginia,32.6,97.2,106.9,2017,0,33.6
Wisconsin,13.8,135.1,128.7,2017,0,30.7
Wyoming,18.1,111.3,102.7,2017,0,20.7
Arkansas State,31.1,85.9,102.3,2014,1,32.6
Army,40.3,71.6,80.7,2014,1,21.4
Boise State,26.2,112.1,111.7,2014,1,37.7
Bowling Green,35.6,87.8,89.7,2014,1,26.4
Connecticut,30,103.9,93,2014,1,14.4
Eastern Michigan,39.7,73.5,86.4,2014,1,16.4
Florida Atlantic,35.1,83.2,104.1,2014,1,25.3
Georgia Southern,31.9,96.3,97.2,2014,1,35.6
Louisville,18.9,121.8,119,2014,1,31.7
Massachusetts,39,86.2,77.8,2014,1,22.6
Miami-OH,34.8,83.3,91.2,2014,1,23.6
Penn State,14.8,135.5,127.3,2014,1,21
Texas,17.4,110.7,144,2014,1,24.9
UAB,31,93.6,101.4,2014,1,28.7
USC,24.1,110.3,112,2014,1,37.4
Vanderbilt,29,98,95.4,2014,1,18.3
Wake Forest,22.9,106.1,107.9,2014,1,11
Washington,26.7,108.1,100.8,2014,1,26
Western Kentucky,38.5,95,76.6,2014,1,40.2
Wyoming,35.1,95.1,90.3,2014,1,23.8
Air Force,27.4,130.7,102,2014,0,30.1
Akron,29,100.7,88.7,2014,0,19.3
Alabama,16.1,146.8,119.9,2014,0,40.9
Appalachian State,31,90.3,84.7,2014,0,26.5
Arizona,26.3,113.8,109.1,2014,0,34.6
Arizona State,25,109,106.8,2014,0,36
Arkansas,16.9,124,114.9,2014,0,36.4
Auburn,21.7,115,102,2014,0,43.7
Ball State,34.9,88.2,88.2,2014,0,23
Baylor,25.8,113.5,108.6,2014,0,42.4
Boston College,23.4,110.4,98.4,2014,0,31
Buffalo,39.7,90.5,80.2,2014,0,24.1
BYU,26.5,112.7,95.9,2014,0,32.2
California,35.7,102.6,78.7,2014,0,37
Central Florida,22.6,105.7,98.7,2014,0,23.6
